regime,label,angular_rate_rms_rad_s,vertical_amplitude_m,roll_amplitude_deg,pitch_amplitude_deg,samples,position_rmse_m,position_max_error_m,position_final_error_m,roll_rmse_deg,pitch_rmse_deg,heading_rmse_deg,heading_final_error_deg,filter,mode,updates,runtime_s,attitude_rpy_vector_rmse_deg,high_turn_heading_rmse_deg
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,4.039588578389829,10.207694532808524,10.207694532808524,0.05371633501776012,0.0638750954731961,0.3652701459896123,0.8607068882778456,ekf,imu_only,0,4.786446100999456,0.37468353582820113,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,7.2887866442163,17.201483960330304,17.201483960330304,0.053493484916928735,0.0633865262443624,0.3645149397681586,0.8437437193024558,ukf,imu_only,0,9.839076821999697,0.37383224306106777,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,9.372293673884661,21.05418485685454,21.05418485685454,0.09403295331782342,0.08089123590444053,0.33795448952710566,0.8472452540261647,pf,imu_only,0,3.645514617000117,0.35999836853428435,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,3.9614515393240133,10.048162662487668,10.048162662487668,0.053716335017761345,0.0638750954731977,0.36527014598965957,0.8607068882778202,inekf,imu_only,0,1.7208663800001887,0.37468353582824754,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,0.3228442542205861,0.9024458778103399,0.08905249839957301,0.5353002406437607,0.45209994666146397,1.5746516393519394,1.7077618271018935,ekf,fused,45,4.834973175999949,1.7235047127055723,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,0.303209204156059,0.804191232504924,0.08453900984558577,0.3482071726211103,0.3260109722928026,1.9152170019716606,1.5596825477447147,ukf,fused,45,9.025585432000298,1.9737242851425327,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,2.760281036794398,8.97769439284516,0.13518214471055376,1.17472402106938,1.2751540624911593,1.8218288686937731,0.15549591747192634,pf,fused,45,3.620164800000566,2.514966169866138,nan
mobile_robot,Mobile robot-like,0.31195621956694053,0.05,1.0,1.0,2251,0.30328621347999735,0.8026596881071303,0.08169269984613949,0.3425850208093232,0.3192912000452729,1.9425011695734897,1.6864555508008514,inekf,fused,45,1.7177646390000518,1.9981546888826327,nan
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,8.343095913168343,20.73173476129988,20.73173476129988,0.11473504250917656,0.11227975144833566,0.7498487212321474,0.624741013141676,ekf,imu_only,0,4.718991888000346,0.7668402553976736,1.1703114584852015
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,10.128813392021415,24.07111905375907,24.07111905375907,0.11720469757188998,0.11428908982671676,0.7459906521094819,0.6173858453692753,ukf,imu_only,0,9.976545741000336,0.763741441995305,1.1664169085410434
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,17.736563313256863,41.38475123409128,41.38475123409128,0.18814451958192105,0.19085990118082163,0.7590159599664966,0.610096696096641,pf,imu_only,0,3.62132175700026,0.8049416684526446,1.1668391202873802
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,9.389974857072708,23.127030626111054,23.127030626111054,0.11473504250919646,0.11227975144835772,0.7498487212321702,0.6247410131413198,inekf,imu_only,0,1.715180992000569,0.7668402553977022,1.1703114584852492
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,0.35549142762522956,0.8958253151186418,0.15905204881368784,0.4728601230930819,0.5523671804397571,1.9388122187622103,2.4465138364977674,ekf,fused,45,4.783278247999988,2.0706759808478528,1.8790060152872483
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,0.3351021195869984,0.856809018106359,0.1537360936339803,0.30864184158271657,0.3784129794311154,1.713763813666401,2.643266311070387,ukf,fused,45,8.249700708999626,1.7819771542895582,1.7312523749152238
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,0.6927453825402036,2.1676515666038085,0.20521929374502726,0.5592954204362651,0.6692908896363166,1.0015998423812602,2.6836834220945867,pf,fused,45,3.7000760850005463,1.3281430293945438,1.4163645184690015
surface_vessel,Surface vessel-like,0.5859305089053355,0.25,5.0,4.0,2251,0.3337446365501073,0.8448902770302015,0.151020259335455,0.3055655048903957,0.3721493302464148,1.6797085025452507,2.5215917611212153,inekf,fused,45,1.711733668999841,1.7473654612886753,1.7272913845476239
drone,Drone-like,1.0189888206261566,1.2,15.0,10.0,2251,14.61066365934026,31.444779373619163,31.444779373619163,0.16097454711445325,0.10129534303857009,1.1605599698007163,0.7836879392260935,ekf,imu_only,0,4.684923930999503,1.1760412385813028,1.6282239240995184
drone,Drone-like,1.0189888206261566,1.2,15.0,10.0,2251,14.997195655341555,32.39587906515211,32.39587906515211,0.1615645126852704,0.10084283056179201,1.159101853022003,0.777248343534623,ukf,imu_only,0,9.80802174099972,1.1746444031765462,1.6264869985363364
drone,Drone-like,1.0189888206261566,1.2,15.0,10.0,2251,25.31418481852802,55.98974883104769,55.98974883104769,0.23968964311049185,0.19857083995505173,1.153395976052839,0.8193757107551674,pf,imu_only,0,3.635730771999988,1.1946563443391456,1.617435302647384
drone,Drone-like,1.0189888206261566,1.2,15.0,10.0,2251,15.154181217584194,33.26492456317258,33.26492456317258,0.16097454711441694,0.10129534303853999,1.160559969800723,0.783687939225788,inekf,imu_only,0,1.6949663010000222,1.1760412385813017,1.6282239240995355
drone,Drone-like,1.0189888206261566,1.2,15.0,10.0,2251,0.33436141219903465,1.0514924058569872,0.1310412228120226,0.4839935953063948,0.5099893410848659,1.6503243747955145,1.0164614428335785,ekf,fused,45,4.7183063219999894,1.7938532466068655,2.1507281318418214
drone,Drone-like,1.0189888206261566,1.2,15.0,10.0,2251,0.3160870783344222,1.0346880254561792,0.13389976440180865,0.3477165713896127,0.33289003679297363,1.7793384386142346,1.1229728326123498,ukf,fused,45,8.366854582000087,1.8433035207868285,2.2736236345743053
drone,Drone-like,1.0189888206261566,1.2,15.0,10.0,2251,1.2192049308499666,4.737398697585711,0.14525363517339915,0.7380644767165974,0.6991190293044571,3.030994038769336,5.3060053351742615,pf,fused,45,3.655753265000385,3.196940952220075,3.275342212865804
drone,Drone-like,1.0189888206261566,1.2,15.0,10.0,2251,0.315371882814861,1.0321372170877963,0.1343510580806307,0.34011164884905437,0.32933459402964166,1.7713651634247467,1.1020664310914239,inekf,fused,45,1.7099848039997596,1.8335407687592526,2.2629548617019224
